filepath,class,label
data\jester_NO_npy\72029.npy,no,0
data\jester_NO_npy\137454.npy,no,0
data\jester_NO_npy\63967.npy,no,0
data\jester_NO_npy\119703.npy,no,0
data\SL_YES_npy\63664.npy,yes,1
data\jester_NO_npy\35262.npy,no,0
data\SL_YES_npy\51290.npy,yes,1
data\SL_YES_npy\12192.npy,yes,1
data\jester_NO_npy\47687.npy,no,0
data\SL_YES_npy\51726.npy,yes,1
data\SL_YES_npy\60723.npy,yes,1
data\SL_YES_npy\12863.npy,yes,1
data\SL_YES_npy\28034.npy,yes,1
data\jester_NO_npy\53357.npy,no,0
data\jester_NO_npy\96071.npy,no,0
data\SL_YES_npy\53620.npy,yes,1
data\SL_YES_npy\64429.npy,yes,1
data\jester_NO_npy\69712.npy,no,0
data\jester_NO_npy\85223.npy,no,0
data\jester_NO_npy\144875.npy,no,0
data\jester_NO_npy\106153.npy,no,0
data\jester_NO_npy\314.npy,no,0
data\SL_YES_npy\61973.npy,yes,1
data\SL_YES_npy\05066.npy,yes,1
data\jester_NO_npy\121713.npy,no,0
data\SL_YES_npy\17636.npy,yes,1
data\jester_NO_npy\122637.npy,no,0
data\SL_YES_npy\10817.npy,yes,1
data\SL_YES_npy\21442.npy,yes,1
data\jester_NO_npy\101945.npy,no,0
data\jester_NO_npy\46949.npy,no,0
data\jester_NO_npy\10729.npy,no,0
data\SL_YES_npy\05565.npy,yes,1
data\SL_YES_npy\63208.npy,yes,1
data\jester_NO_npy\124612.npy,no,0
data\jester_NO_npy\135439.npy,no,0
data\jester_NO_npy\70954.npy,no,0
data\SL_YES_npy\23907.npy,yes,1
data\jester_NO_npy\1750.npy,no,0
data\SL_YES_npy\39592.npy,yes,1
data\SL_YES_npy\07247.npy,yes,1
data\jester_NO_npy\17389.npy,no,0
data\SL_YES_npy\28111.npy,yes,1
data\SL_YES_npy\66407.npy,yes,1
data\SL_YES_npy\11438.npy,yes,1
data\SL_YES_npy\66779.npy,yes,1
data\SL_YES_npy\02229.npy,yes,1
data\jester_NO_npy\15882.npy,no,0
data\jester_NO_npy\9916.npy,no,0
data\jester_NO_npy\67444.npy,no,0
data\jester_NO_npy\16352.npy,no,0
data\SL_YES_npy\28650.npy,yes,1
data\SL_YES_npy\54258.npy,yes,1
data\SL_YES_npy\40115.npy,yes,1
data\jester_NO_npy\48440.npy,no,0
data\jester_NO_npy\44507.npy,no,0
data\jester_NO_npy\93386.npy,no,0
data\jester_NO_npy\139345.npy,no,0
data\jester_NO_npy\105174.npy,no,0
data\jester_NO_npy\62755.npy,no,0
data\jester_NO_npy\12200.npy,no,0
data\SL_YES_npy\63659.npy,yes,1
data\SL_YES_npy\28115.npy,yes,1
data\SL_YES_npy\04715.npy,yes,1
data\jester_NO_npy\91410.npy,no,0
data\jester_NO_npy\57520.npy,no,0
data\jester_NO_npy\54376.npy,no,0
data\SL_YES_npy\65300.npy,yes,1
data\jester_NO_npy\109206.npy,no,0
data\jester_NO_npy\59021.npy,no,0
data\SL_YES_npy\13208.npy,yes,1
data\jester_NO_npy\144165.npy,no,0
data\SL_YES_npy\58805.npy,yes,1
data\SL_YES_npy\38861.npy,yes,1
data\SL_YES_npy\02112.npy,yes,1
data\jester_NO_npy\41299.npy,no,0
data\jester_NO_npy\141356.npy,no,0
data\SL_YES_npy\23277.npy,yes,1
data\jester_NO_npy\134956.npy,no,0
data\jester_NO_npy\91800.npy,no,0
data\jester_NO_npy\135668.npy,no,0
data\jester_NO_npy\116698.npy,no,0
data\SL_YES_npy\27438.npy,yes,1
data\jester_NO_npy\68577.npy,no,0
data\jester_NO_npy\45837.npy,no,0
data\jester_NO_npy\133157.npy,no,0
data\SL_YES_npy\42511.npy,yes,1
data\SL_YES_npy\63237.npy,yes,1
data\SL_YES_npy\57600.npy,yes,1
data\SL_YES_npy\66469.npy,yes,1
data\jester_NO_npy\124801.npy,no,0
data\jester_NO_npy\45496.npy,no,0
data\jester_NO_npy\12940.npy,no,0
data\SL_YES_npy\01217.npy,yes,1
data\jester_NO_npy\45117.npy,no,0
data\jester_NO_npy\2362.npy,no,0
data\jester_NO_npy\116142.npy,no,0
data\SL_YES_npy\66019.npy,yes,1
data\SL_YES_npy\61442.npy,yes,1
data\SL_YES_npy\63380.npy,yes,1
data\jester_NO_npy\41506.npy,no,0
data\SL_YES_npy\17723.npy,yes,1
data\jester_NO_npy\49185.npy,no,0
data\jester_NO_npy\42170.npy,no,0
data\SL_YES_npy\18139.npy,yes,1
data\SL_YES_npy\59251.npy,yes,1
data\jester_NO_npy\108596.npy,no,0
data\SL_YES_npy\37065.npy,yes,1
data\SL_YES_npy\06433.npy,yes,1
data\SL_YES_npy\65372.npy,yes,1
data\jester_NO_npy\73819.npy,no,0
data\jester_NO_npy\103602.npy,no,0
data\SL_YES_npy\34864.npy,yes,1
data\jester_NO_npy\69029.npy,no,0
data\jester_NO_npy\136929.npy,no,0
data\jester_NO_npy\105436.npy,no,0
data\SL_YES_npy\22194.npy,yes,1
data\jester_NO_npy\130547.npy,no,0
data\SL_YES_npy\50398.npy,yes,1
data\jester_NO_npy\142793.npy,no,0
data\jester_NO_npy\127897.npy,no,0
data\SL_YES_npy\18533.npy,yes,1
data\jester_NO_npy\84774.npy,no,0
data\SL_YES_npy\25044.npy,yes,1
data\SL_YES_npy\57827.npy,yes,1
data\SL_YES_npy\36632.npy,yes,1
data\jester_NO_npy\96822.npy,no,0
data\jester_NO_npy\132197.npy,no,0
data\jester_NO_npy\109369.npy,no,0
data\SL_YES_npy\31102.npy,yes,1
data\SL_YES_npy\53415.npy,yes,1
data\jester_NO_npy\72362.npy,no,0
data\jester_NO_npy\24808.npy,no,0
data\SL_YES_npy\17359.npy,yes,1
data\SL_YES_npy\13337.npy,yes,1
data\SL_YES_npy\45434.npy,yes,1
data\SL_YES_npy\53448.npy,yes,1
data\SL_YES_npy\66166.npy,yes,1
data\SL_YES_npy\52712.npy,yes,1
data\jester_NO_npy\14578.npy,no,0
data\SL_YES_npy\19933.npy,yes,1
data\jester_NO_npy\38121.npy,no,0
data\jester_NO_npy\3650.npy,no,0
data\SL_YES_npy\43538.npy,yes,1
data\SL_YES_npy\16002.npy,yes,1
data\SL_YES_npy\65038.npy,yes,1
data\jester_NO_npy\141460.npy,no,0
data\jester_NO_npy\101342.npy,no,0
data\SL_YES_npy\65840.npy,yes,1
data\jester_NO_npy\37467.npy,no,0
data\jester_NO_npy\120866.npy,no,0
data\SL_YES_npy\50503.npy,yes,1
data\SL_YES_npy\31900.npy,yes,1
data\jester_NO_npy\98147.npy,no,0
data\SL_YES_npy\02525.npy,yes,1
data\jester_NO_npy\135342.npy,no,0
data\jester_NO_npy\84803.npy,no,0
data\SL_YES_npy\02914.npy,yes,1
data\jester_NO_npy\91146.npy,no,0
data\SL_YES_npy\53452.npy,yes,1
data\jester_NO_npy\82372.npy,no,0
data\SL_YES_npy\44495.npy,yes,1
data\jester_NO_npy\107071.npy,no,0
data\jester_NO_npy\70941.npy,no,0
data\jester_NO_npy\74395.npy,no,0
data\SL_YES_npy\30745.npy,yes,1
data\SL_YES_npy\44631.npy,yes,1
data\jester_NO_npy\127363.npy,no,0
data\jester_NO_npy\70662.npy,no,0
data\SL_YES_npy\22926.npy,yes,1
data\jester_NO_npy\105604.npy,no,0
data\jester_NO_npy\61278.npy,no,0
data\SL_YES_npy\40119.npy,yes,1
data\jester_NO_npy\102197.npy,no,0
data\jester_NO_npy\134569.npy,no,0
data\jester_NO_npy\97677.npy,no,0
data\SL_YES_npy\49657.npy,yes,1
data\SL_YES_npy\50020.npy,yes,1
data\SL_YES_npy\25242.npy,yes,1
data\jester_NO_npy\80268.npy,no,0
data\jester_NO_npy\78468.npy,no,0
data\SL_YES_npy\04708.npy,yes,1
data\SL_YES_npy\58733.npy,yes,1
data\SL_YES_npy\37042.npy,yes,1
data\jester_NO_npy\16461.npy,no,0
data\jester_NO_npy\76636.npy,no,0
data\jester_NO_npy\34054.npy,no,0
data\SL_YES_npy\04173.npy,yes,1
data\SL_YES_npy\37470.npy,yes,1
data\jester_NO_npy\44973.npy,no,0
data\jester_NO_npy\55585.npy,no,0
data\jester_NO_npy\49791.npy,no,0
data\SL_YES_npy\53485.npy,yes,1
data\jester_NO_npy\74060.npy,no,0
data\SL_YES_npy\30985.npy,yes,1
data\jester_NO_npy\36343.npy,no,0
data\SL_YES_npy\59246.npy,yes,1
data\jester_NO_npy\59158.npy,no,0
data\SL_YES_npy\26012.npy,yes,1
data\jester_NO_npy\123016.npy,no,0
data\SL_YES_npy\36056.npy,yes,1
data\jester_NO_npy\57900.npy,no,0
data\SL_YES_npy\57412.npy,yes,1
data\SL_YES_npy\27359.npy,yes,1
data\SL_YES_npy\05965.npy,yes,1
data\jester_NO_npy\135445.npy,no,0
data\SL_YES_npy\57603.npy,yes,1
data\jester_NO_npy\127593.npy,no,0
data\jester_NO_npy\52565.npy,no,0
data\jester_NO_npy\87996.npy,no,0
data\jester_NO_npy\55213.npy,no,0
data\jester_NO_npy\7442.npy,no,0
data\jester_NO_npy\2143.npy,no,0
data\jester_NO_npy\135929.npy,no,0
data\jester_NO_npy\26217.npy,no,0
data\jester_NO_npy\81845.npy,no,0
data\SL_YES_npy\21106.npy,yes,1
data\jester_NO_npy\75626.npy,no,0
data\jester_NO_npy\102151.npy,no,0
data\jester_NO_npy\118808.npy,no,0
data\jester_NO_npy\20579.npy,no,0
data\SL_YES_npy\24914.npy,yes,1
data\jester_NO_npy\52732.npy,no,0
data\SL_YES_npy\28379.npy,yes,1
data\SL_YES_npy\53198.npy,yes,1
data\jester_NO_npy\113671.npy,no,0
data\SL_YES_npy\57243.npy,yes,1
data\jester_NO_npy\57195.npy,no,0
data\jester_NO_npy\69842.npy,no,0
data\SL_YES_npy\65067.npy,yes,1
data\jester_NO_npy\78971.npy,no,0
data\jester_NO_npy\120018.npy,no,0
data\SL_YES_npy\66709.npy,yes,1
data\SL_YES_npy\14316.npy,yes,1
data\SL_YES_npy\40015.npy,yes,1
data\SL_YES_npy\63083.npy,yes,1
data\SL_YES_npy\01388.npy,yes,1
data\jester_NO_npy\53524.npy,no,0
data\jester_NO_npy\144553.npy,no,0
data\jester_NO_npy\113890.npy,no,0
data\jester_NO_npy\101709.npy,no,0
data\jester_NO_npy\1759.npy,no,0
data\jester_NO_npy\23245.npy,no,0
data\jester_NO_npy\123393.npy,no,0
data\SL_YES_npy\39854.npy,yes,1
data\jester_NO_npy\26366.npy,no,0
data\SL_YES_npy\51480.npy,yes,1
data\jester_NO_npy\111883.npy,no,0
data\jester_NO_npy\80920.npy,no,0
data\jester_NO_npy\107527.npy,no,0
data\SL_YES_npy\23902.npy,yes,1
data\jester_NO_npy\39182.npy,no,0
data\jester_NO_npy\130268.npy,no,0
data\jester_NO_npy\134557.npy,no,0
data\SL_YES_npy\25651.npy,yes,1
data\SL_YES_npy\54825.npy,yes,1
data\jester_NO_npy\79309.npy,no,0
data\SL_YES_npy\69330.npy,yes,1
data\jester_NO_npy\110841.npy,no,0
data\jester_NO_npy\68664.npy,no,0
data\jester_NO_npy\6836.npy,no,0
data\SL_YES_npy\65093.npy,yes,1
data\jester_NO_npy\16041.npy,no,0
data\jester_NO_npy\83331.npy,no,0
data\SL_YES_npy\22994.npy,yes,1
data\jester_NO_npy\48383.npy,no,0
data\SL_YES_npy\37418.npy,yes,1
data\jester_NO_npy\101669.npy,no,0
data\SL_YES_npy\28590.npy,yes,1
data\jester_NO_npy\51723.npy,no,0
data\SL_YES_npy\55425.npy,yes,1
data\jester_NO_npy\128423.npy,no,0
data\jester_NO_npy\123312.npy,no,0
data\jester_NO_npy\34841.npy,no,0
data\jester_NO_npy\7748.npy,no,0
data\jester_NO_npy\131022.npy,no,0
data\jester_NO_npy\88642.npy,no,0
data\jester_NO_npy\34641.npy,no,0
data\jester_NO_npy\112566.npy,no,0
data\SL_YES_npy\50053.npy,yes,1
data\jester_NO_npy\136065.npy,no,0
data\SL_YES_npy\21557.npy,yes,1
data\jester_NO_npy\86205.npy,no,0
data\jester_NO_npy\10038.npy,no,0
data\jester_NO_npy\107666.npy,no,0
data\jester_NO_npy\139701.npy,no,0
data\jester_NO_npy\147284.npy,no,0
data\SL_YES_npy\34204.npy,yes,1
data\jester_NO_npy\47109.npy,no,0
data\jester_NO_npy\15878.npy,no,0
data\jester_NO_npy\116682.npy,no,0
data\SL_YES_npy\17934.npy,yes,1
data\SL_YES_npy\27284.npy,yes,1
data\jester_NO_npy\145897.npy,no,0
data\jester_NO_npy\100258.npy,no,0
data\SL_YES_npy\59991.npy,yes,1
data\SL_YES_npy\14584.npy,yes,1
data\jester_NO_npy\43032.npy,no,0
data\SL_YES_npy\17097.npy,yes,1
data\jester_NO_npy\127636.npy,no,0
data\SL_YES_npy\62909.npy,yes,1
data\jester_NO_npy\118147.npy,no,0
data\jester_NO_npy\112607.npy,no,0
data\SL_YES_npy\10815.npy,yes,1
data\SL_YES_npy\18325.npy,yes,1
data\jester_NO_npy\138298.npy,no,0
data\SL_YES_npy\08514.npy,yes,1
data\jester_NO_npy\120986.npy,no,0
data\SL_YES_npy\52215.npy,yes,1
data\jester_NO_npy\143775.npy,no,0
data\jester_NO_npy\34744.npy,no,0
data\jester_NO_npy\84581.npy,no,0
data\jester_NO_npy\70196.npy,no,0
data\jester_NO_npy\96923.npy,no,0
data\jester_NO_npy\146535.npy,no,0
data\SL_YES_npy\25695.npy,yes,1
data\SL_YES_npy\65620.npy,yes,1
data\SL_YES_npy\18532.npy,yes,1
data\jester_NO_npy\4204.npy,no,0
data\SL_YES_npy\27770.npy,yes,1
data\SL_YES_npy\63084.npy,yes,1
data\jester_NO_npy\84191.npy,no,0
data\jester_NO_npy\53708.npy,no,0
data\jester_NO_npy\33192.npy,no,0
data\SL_YES_npy\00946.npy,yes,1
data\SL_YES_npy\45637.npy,yes,1
data\SL_YES_npy\03157.npy,yes,1
data\jester_NO_npy\143209.npy,no,0
data\SL_YES_npy\26159.npy,yes,1
data\jester_NO_npy\115469.npy,no,0
data\jester_NO_npy\61436.npy,no,0
data\jester_NO_npy\134525.npy,no,0
data\SL_YES_npy\13640.npy,yes,1
data\jester_NO_npy\101621.npy,no,0
data\jester_NO_npy\35701.npy,no,0
data\SL_YES_npy\16405.npy,yes,1
data\jester_NO_npy\29538.npy,no,0
data\SL_YES_npy\57901.npy,yes,1
data\SL_YES_npy\22510.npy,yes,1
data\jester_NO_npy\116880.npy,no,0
data\jester_NO_npy\29969.npy,no,0
data\SL_YES_npy\59905.npy,yes,1
data\jester_NO_npy\77474.npy,no,0
data\SL_YES_npy\51704.npy,yes,1
data\jester_NO_npy\82782.npy,no,0
data\SL_YES_npy\60949.npy,yes,1
data\jester_NO_npy\83978.npy,no,0
data\SL_YES_npy\35545.npy,yes,1
data\SL_YES_npy\38975.npy,yes,1
data\SL_YES_npy\62780.npy,yes,1
data\SL_YES_npy\69508.npy,yes,1
data\jester_NO_npy\45324.npy,no,0
data\jester_NO_npy\26814.npy,no,0
data\jester_NO_npy\16339.npy,no,0
data\jester_NO_npy\71270.npy,no,0
data\jester_NO_npy\115639.npy,no,0
data\jester_NO_npy\69719.npy,no,0
data\jester_NO_npy\25958.npy,no,0
data\jester_NO_npy\143748.npy,no,0
data\jester_NO_npy\43238.npy,no,0
data\jester_NO_npy\93260.npy,no,0
data\jester_NO_npy\142656.npy,no,0
data\SL_YES_npy\43599.npy,yes,1
data\jester_NO_npy\102211.npy,no,0
data\jester_NO_npy\139723.npy,no,0
data\jester_NO_npy\86788.npy,no,0
data\jester_NO_npy\56055.npy,no,0
data\jester_NO_npy\38019.npy,no,0
data\SL_YES_npy\52354.npy,yes,1
data\jester_NO_npy\99510.npy,no,0
data\jester_NO_npy\4737.npy,no,0
data\jester_NO_npy\9591.npy,no,0
data\jester_NO_npy\17189.npy,no,0
data\SL_YES_npy\49941.npy,yes,1
data\jester_NO_npy\97679.npy,no,0
data\SL_YES_npy\25431.npy,yes,1
data\jester_NO_npy\43419.npy,no,0
data\jester_NO_npy\84840.npy,no,0
data\jester_NO_npy\58072.npy,no,0
data\SL_YES_npy\51721.npy,yes,1
data\SL_YES_npy\69430.npy,yes,1
data\SL_YES_npy\17979.npy,yes,1
data\jester_NO_npy\84619.npy,no,0
data\jester_NO_npy\22379.npy,no,0
data\jester_NO_npy\50244.npy,no,0
data\jester_NO_npy\144821.npy,no,0
data\SL_YES_npy\65780.npy,yes,1
data\SL_YES_npy\20667.npy,yes,1
data\jester_NO_npy\75553.npy,no,0
data\jester_NO_npy\133173.npy,no,0
data\jester_NO_npy\137937.npy,no,0
data\SL_YES_npy\64266.npy,yes,1
data\jester_NO_npy\135206.npy,no,0
data\SL_YES_npy\51220.npy,yes,1
data\jester_NO_npy\22295.npy,no,0
data\jester_NO_npy\62363.npy,no,0
data\SL_YES_npy\30707.npy,yes,1
data\jester_NO_npy\58842.npy,no,0
data\jester_NO_npy\74763.npy,no,0
data\jester_NO_npy\53274.npy,no,0
data\SL_YES_npy\51224.npy,yes,1
data\jester_NO_npy\115710.npy,no,0
data\jester_NO_npy\109761.npy,no,0
data\jester_NO_npy\124695.npy,no,0
data\SL_YES_npy\18524.npy,yes,1
data\SL_YES_npy\32863.npy,yes,1
data\jester_NO_npy\13904.npy,no,0
data\SL_YES_npy\37984.npy,yes,1
data\jester_NO_npy\126443.npy,no,0
data\jester_NO_npy\74163.npy,no,0
data\SL_YES_npy\47666.npy,yes,1
data\jester_NO_npy\13870.npy,no,0
data\SL_YES_npy\45572.npy,yes,1
data\SL_YES_npy\20701.npy,yes,1
data\jester_NO_npy\136438.npy,no,0
data\SL_YES_npy\41454.npy,yes,1
data\jester_NO_npy\20912.npy,no,0
data\SL_YES_npy\66081.npy,yes,1
data\jester_NO_npy\46459.npy,no,0
data\SL_YES_npy\13201.npy,yes,1
data\jester_NO_npy\26388.npy,no,0
data\jester_NO_npy\17127.npy,no,0
data\SL_YES_npy\66798.npy,yes,1
data\jester_NO_npy\11873.npy,no,0
data\jester_NO_npy\146176.npy,no,0
data\SL_YES_npy\43580.npy,yes,1
data\SL_YES_npy\64430.npy,yes,1
data\SL_YES_npy\66043.npy,yes,1
data\jester_NO_npy\20381.npy,no,0
data\jester_NO_npy\69134.npy,no,0
data\jester_NO_npy\56988.npy,no,0
data\jester_NO_npy\58684.npy,no,0
data\SL_YES_npy\17931.npy,yes,1
data\jester_NO_npy\11324.npy,no,0
data\jester_NO_npy\59543.npy,no,0
data\SL_YES_npy\08468.npy,yes,1
data\SL_YES_npy\66428.npy,yes,1
data\jester_NO_npy\88351.npy,no,0
data\SL_YES_npy\18220.npy,yes,1
data\SL_YES_npy\02999.npy,yes,1
data\jester_NO_npy\111166.npy,no,0
data\SL_YES_npy\55313.npy,yes,1
data\jester_NO_npy\125224.npy,no,0
data\jester_NO_npy\108806.npy,no,0
data\jester_NO_npy\60508.npy,no,0
data\jester_NO_npy\106574.npy,no,0
data\jester_NO_npy\80855.npy,no,0
data\jester_NO_npy\99416.npy,no,0
data\SL_YES_npy\57634.npy,yes,1
data\jester_NO_npy\65886.npy,no,0
data\jester_NO_npy\133300.npy,no,0
data\jester_NO_npy\7598.npy,no,0
data\SL_YES_npy\51236.npy,yes,1
data\jester_NO_npy\17984.npy,no,0
data\jester_NO_npy\55801.npy,no,0
data\SL_YES_npy\33404.npy,yes,1
data\SL_YES_npy\53340.npy,yes,1
data\jester_NO_npy\10296.npy,no,0
data\jester_NO_npy\110315.npy,no,0
data\jester_NO_npy\6380.npy,no,0
data\jester_NO_npy\118494.npy,no,0
data\jester_NO_npy\11790.npy,no,0
data\jester_NO_npy\19036.npy,no,0
data\jester_NO_npy\128686.npy,no,0
data\jester_NO_npy\70786.npy,no,0
data\jester_NO_npy\141863.npy,no,0
data\SL_YES_npy\21275.npy,yes,1
data\jester_NO_npy\5836.npy,no,0
data\jester_NO_npy\96054.npy,no,0
data\SL_YES_npy\33771.npy,yes,1
data\jester_NO_npy\82627.npy,no,0
data\SL_YES_npy\27661.npy,yes,1
data\jester_NO_npy\61541.npy,no,0
data\jester_NO_npy\129244.npy,no,0
data\SL_YES_npy\66778.npy,yes,1
data\jester_NO_npy\10290.npy,no,0
data\SL_YES_npy\13469.npy,yes,1
data\SL_YES_npy\58734.npy,yes,1
data\jester_NO_npy\118642.npy,no,0
data\jester_NO_npy\71741.npy,no,0
data\jester_NO_npy\63652.npy,no,0
data\SL_YES_npy\02238.npy,yes,1
data\SL_YES_npy\63229.npy,yes,1
data\jester_NO_npy\47093.npy,no,0
data\jester_NO_npy\134196.npy,no,0
data\SL_YES_npy\43536.npy,yes,1
data\SL_YES_npy\14565.npy,yes,1
data\SL_YES_npy\47222.npy,yes,1
data\jester_NO_npy\139150.npy,no,0
data\jester_NO_npy\2793.npy,no,0
data\jester_NO_npy\113578.npy,no,0
data\SL_YES_npy\65668.npy,yes,1
data\SL_YES_npy\51815.npy,yes,1
data\jester_NO_npy\78196.npy,no,0
data\SL_YES_npy\07393.npy,yes,1
data\jester_NO_npy\140545.npy,no,0
data\SL_YES_npy\08670.npy,yes,1
data\jester_NO_npy\52175.npy,no,0
data\jester_NO_npy\34910.npy,no,0
data\SL_YES_npy\40240.npy,yes,1
data\jester_NO_npy\104968.npy,no,0
data\jester_NO_npy\37420.npy,no,0
data\SL_YES_npy\34861.npy,yes,1
data\jester_NO_npy\85025.npy,no,0
data\jester_NO_npy\143144.npy,no,0
data\jester_NO_npy\131572.npy,no,0
data\SL_YES_npy\14204.npy,yes,1
data\SL_YES_npy\12402.npy,yes,1
data\jester_NO_npy\6259.npy,no,0
data\jester_NO_npy\70190.npy,no,0
data\jester_NO_npy\142352.npy,no,0
data\SL_YES_npy\61370.npy,yes,1
data\jester_NO_npy\12143.npy,no,0
data\SL_YES_npy\08308.npy,yes,1
data\jester_NO_npy\120729.npy,no,0
data\jester_NO_npy\88857.npy,no,0
data\jester_NO_npy\28064.npy,no,0
data\jester_NO_npy\144980.npy,no,0
data\jester_NO_npy\13015.npy,no,0
data\jester_NO_npy\28533.npy,no,0
data\SL_YES_npy\31613.npy,yes,1
data\SL_YES_npy\27766.npy,yes,1
data\jester_NO_npy\67120.npy,no,0
data\jester_NO_npy\15095.npy,no,0
data\jester_NO_npy\133047.npy,no,0
data\jester_NO_npy\63738.npy,no,0
data\SL_YES_npy\08671.npy,yes,1
data\SL_YES_npy\17712.npy,yes,1
data\jester_NO_npy\131292.npy,no,0
data\SL_YES_npy\62908.npy,yes,1
data\jester_NO_npy\114612.npy,no,0
data\SL_YES_npy\11380.npy,yes,1
data\jester_NO_npy\110156.npy,no,0
data\jester_NO_npy\81882.npy,no,0
data\SL_YES_npy\38285.npy,yes,1
data\jester_NO_npy\124073.npy,no,0
data\jester_NO_npy\89094.npy,no,0
data\SL_YES_npy\27666.npy,yes,1
data\jester_NO_npy\112771.npy,no,0
data\jester_NO_npy\25138.npy,no,0
data\SL_YES_npy\53296.npy,yes,1
data\SL_YES_npy\17988.npy,yes,1
data\jester_NO_npy\20364.npy,no,0
data\jester_NO_npy\11625.npy,no,0
data\jester_NO_npy\45570.npy,no,0
data\jester_NO_npy\142668.npy,no,0
data\SL_YES_npy\60045.npy,yes,1
data\SL_YES_npy\55804.npy,yes,1
data\jester_NO_npy\80071.npy,no,0
data\SL_YES_npy\63381.npy,yes,1
data\jester_NO_npy\4213.npy,no,0
data\jester_NO_npy\94807.npy,no,0
data\SL_YES_npy\27439.npy,yes,1
data\SL_YES_npy\20768.npy,yes,1
data\SL_YES_npy\23330.npy,yes,1
data\jester_NO_npy\55400.npy,no,0
data\SL_YES_npy\34736.npy,yes,1
data\jester_NO_npy\126948.npy,no,0
data\jester_NO_npy\122686.npy,no,0
data\jester_NO_npy\81192.npy,no,0
data\jester_NO_npy\45433.npy,no,0
data\SL_YES_npy\64091.npy,yes,1
data\jester_NO_npy\114121.npy,no,0
data\SL_YES_npy\04156.npy,yes,1
data\SL_YES_npy\50058.npy,yes,1
data\jester_NO_npy\50105.npy,no,0
data\jester_NO_npy\74048.npy,no,0
data\jester_NO_npy\102907.npy,no,0
